assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.869)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.869)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.56031)^(427.444)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55719)^(426.911)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.35281)^(392.899)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.34747)^(392.037)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.72969)^(457.102)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.59437)^(433.301)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.869)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (11.7811)^(1634.55)
LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
LOG_SUCCESS       | info    | The simulation finished successfully.
